code_transaction,code_transaction_,dates,status_transaction,status_v3,operateur,reference_fact,reference_contrat,MONTANT,numero,id_user,ref_client,devicetype,device_describe,type_facture,ref_societe,ref_application,aggregateur_code,statut_operateur,montant_init,code_saphir_v3,periode_facturation,date_enregistrement,numero_recu,dates_flux,sources,archived,,
P0219072110534628488,P0219072110534628488,20210719105346,1,1,13,032021186,232167252000,2680,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,c19bbf1d-3a86-4337-98ec-f372957ea3c5,1,\N,P02,,2024-04-15 16:30:04,1626692026365,20210719,SV2,1,,
P0219072110540360168,P0219072110540360168,20210719105403,1,1,13,\N,423016873000,13430,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,f30912ad-6c0a-4452-ba7a-125804f14d38,1,\N,P02,052021,2024-04-15 16:30:04,1626692043614,20210719,SV2,1,,
P0219072110541919580,P0219072110541919580,20210719105419,1,1,13,\N,213076431000,10000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,11a6aca1-00f0-4ce2-9192-8b42c71f56b5,1,\N,P02,092020,2024-04-15 16:30:04,1626692059950,20210719,SV2,1,,
P0219072110550973584,P0219072110550973584,20210719105509,1,1,13,062021249,418057121000,17575,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,f3e69503-2546-48dc-9d31-5b9b6f218b3b,1,\N,P02,,2024-04-15 16:30:04,1626692109231,20210719,SV2,1,,
P0219072110552064797,P0219072110552064797,20210719105520,1,1,13,062021138,261234991000,38920,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,bee691fe-57b2-4ee7-a5e3-81fc5151f6ce,1,\N,P02,,2024-04-15 16:30:04,1626692120194,20210719,SV2,1,,
P0429112200063440138,P0429112200063440138,20221129000634,1,1,11,\N,449025164000,180,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,b147d46c-9e25-4c87-a946-542ba0d8933b,1,\N,P04,062020,2023-10-11 16:00:08,4643730528,20221129,SV2,1,,
P0429112200114129067,P0429112200114129067,20221129001141,1,1,11,\N,421351011000,500,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,b3730550-3b57-42a5-8447-084ad95e6ac6,1,\N,P04,032022,2023-10-11 16:00:08,4643734382,20221129,SV2,1,,
P0429112200180912576,P0429112200180912576,20221129001809,1,1,11,\N,449025164000,180,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,e1da5b0a-21c2-49e7-940d-083e3c94a876,1,\N,P04,062020,2023-10-11 16:00:08,4643739198,20221129,SV2,1,,
P0429112200360233356,P0429112200360233356,20221129003602,1,1,11,\N,213050254000,1115,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,af585d90-e003-44bb-8de1-5038271e70a6,1,\N,P04,072022,2023-10-11 16:00:08,4643752272,20221129,SV2,1,,
P0429112200374005541,P0429112200374005541,20221129003740,1,1,11,\N,213050254000,1115,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,94bd7a92-0d3a-4032-b454-f5f5160c8388,1,\N,P04,072022,2023-10-11 16:00:08,4643753247,20221129,SV2,1,,
P0429112202341637540,P0429112202341637540,20221129023416,1,1,11,\N,443040223000,50,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,a2f148a4-eb04-47cf-b786-10809b8d986a,1,\N,P04,012020,2023-10-11 16:00:08,4643797953,20221129,SV2,1,,
P0429112203364812622,P0429112203364812622,20221129033648,1,1,11,\N,422172451000,2760,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,1834d8e3-a4f9-405f-bdbd-afacc6f34e7e,1,\N,P04,102022,2023-10-11 16:00:08,4643809367,20221129,SV2,1,,
P0429112204425663562,P0429112204425663562,20221129044256,1,1,11,\N,24D061612000,20000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,7cdd1518-6f93-4b67-9636-be6fff4ae455,1,\N,P04,102022,2023-10-11 16:00:08,4643822522,20221129,SV2,1,,
P0429112204525802718,P0429112204525802718,20221129045257,1,1,11,\N,424035233000,19975,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,cd7e1907-1a06-4dca-9c52-0cbdb6149baa,1,\N,P04,102022,2023-10-11 16:00:08,4643825322,20221129,SV2,1,,
P0429112205203732501,P0429112205203732501,20221129052037,1,1,11,\N,218093081000,210,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,453eed5b-1d1d-4c40-bcb2-8471a3ee26ae,1,\N,P04,102022,2023-10-11 16:00:08,4643834842,20221129,SV2,1,,
P0526062322111298055,P0526062322111298055,20230626231059,1,1,7,005036920101202301,022757518000,650,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,10825710-c11b-4cf8-b0b7-f2fb2717a9a1,1,\N,P05,,2023-08-23 12:20:07,P05062655D7M,20230626,SV3,1,,
P0526062322372725801,P0526062322372725801,20230626233713,1,1,7,005036920101202301,022757518000,650,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,d0588b40-d5a0-44b8-8fc7-4cf3f55ac132,1,\N,P05,,2023-08-23 12:20:07,P05062618CBQ,20230626,SV3,1,,
P0503072315005382068,P0503072315005382068,20230703150058,1,1,7,040347390206202301,045026630000,35230,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,28a0dccb-bd8f-4c93-9894-ec7a6d9d996a,1,\N,P05,,2023-08-23 12:20:07,P05070345VAY,20230703,SV3,1,,
P0521122310005927198,P0521122310005927198,20231221100058,1,1,7,011345480112202301,221360719000,200,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,ee627b0f-cabd-4f24-9c74-d138eaa6c2ed,1,\N,P05,,2023-12-21 10:10:09,P05122154Z49,20231221,SV3,1,,
P0521122312040823357,P0521122312040823357,20231221120407,1,1,7,011345480112202301,221360719000,1665,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,f0e666a5-7899-4142-8172-435308f73e05,1,\N,P05,,2023-12-21 12:10:12,P05122104CHJ,20231221,SV3,1,,
P0522122309405374204,P0522122309405374204,20231222094052,1,1,7,012299240111202301,223749166000,100,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,f8baaad8-6089-4b24-a297-c4ba3d6cb93e,1,\N,P05,,2023-12-22 09:50:11,P05122248FZY,20231222,SV3,1,,
P0522122309562475478,P0522122309562475478,20231222095623,1,1,7,012299240111202301,223749166000,100,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,21b7bbcd-cbc8-4ec1-9dd4-95a3f86134be,1,\N,P05,,2023-12-22 10:00:15,P05122223VYQ,20231222,SV3,1,,
P0522122310193601565,P0522122310193601565,20231222101934,1,1,7,012299240111202301,223749166000,100,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,da1c0244-6fe0-4fc3-b7b7-a9fc51c11229,1,\N,P05,,2023-12-22 10:20:15,P05122228HNH,20231222,SV3,1,,
P0522122310221655017,P0522122310221655017,20231222102214,1,1,7,012299240111202301,223749166000,100,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,857f8f59-bf89-4eaf-bfd0-3acfc669985c,1,\N,P05,,2023-12-22 10:30:10,P05122211YHN,20231222,SV3,1,,
P0816032409335631144,P0816032409335631144,20240316090032,1,1,15,023524390102202401,033595263000,20000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,34d40d2c-7e1a-4af8-b9b2-9219413f13a4,1,\N,P08,,2024-03-16 09:40:00,10987500001,20240316,SV3,1,,
P0816032419375577253,P0816032419375577253,20240316190005,1,1,15,029069690102202401,045061661000,114305,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,e3e58ef9-5525-43d2-a184-1e7f71cafc42,1,\N,P08,,2024-03-16 19:39:59,10987500004,20240316,SV3,1,,
P0817032415080135393,P0817032415080135393,20240317150033,1,1,15,,045837071000,237000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,e3b92561-1140-4939-89f4-f5d6d2335ee8,1,\N,P08,,2024-03-17 15:10:01,10987600008,20240317,SV3,1,,
P0817032423095909336,P0817032423095909336,20240317230004,1,1,15,032156520102202401,044022503000,71250,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,da4dd124-bdc9-42f6-a29a-14038ededb8a,1,\N,P08,,2024-03-17 23:10:02,10987600012,20240317,SV3,1,,
P0817032423075854720,P0817032423075854720,20240317230014,1,1,15,040687610202202401,044018749000,89665,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,1bc53078-0f39-4de1-a3e1-fae64972ed78,1,\N,P08,,2024-03-17 23:10:02,10987600011,20240317,SV3,1,,
P0818032421313081035,P0818032421313081035,20240318212547,1,1,15,,043466172000,150000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,488fc2a3-5811-4ffd-9101-bf93d7f93cfe,1,\N,P08,,2024-03-18 21:40:07,i240318213117693,20240318,SV3,1,,
P0819032416380222270,P0819032416380222270,20240305170003,1,1,15,022189710102202401,033611722000,85920,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,5f26514e-802e-4236-945a-7460f4d62949,1,\N,P08,,2024-03-19 16:40:03,10986400013,20240319,SV3,1,,
P0819032418160251547,P0819032418160251547,20240319180018,1,1,15,029849510103202401,045274115000,100,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,c261c1cc-cc7e-4138-af81-5ecc9fe47410,1,\N,P08,,2024-03-19 18:20:09,10987800013,20240319,SV3,1,,
P0820032406302987759,P0820032406302987759,20240320062446,1,1,15,638339900202202401,046040114000,19820,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,0813b595-fe53-419d-bbc1-8e38ed1cae87,1,\N,P08,,2024-03-20 06:40:03,0240320063018411,20240320,SV3,1,,
P0820032409200289874,P0820032409200289874,20240320090033,1,1,15,017868620203202401,251306971000,72240,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,d0e1afc0-fda2-460f-9702-bdbd1b620b1c,1,\N,P08,,2024-03-20 09:20:05,10987900002,20240320,SV3,1,,
P0618032408444305253,P0618032408444305253,20240318084441,1,1,20,039588280202202401,043007384000,117345,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,2aa7e0ea-18ba-4079-bf7c-bf5214aaf3ea,1,\N,P06,,2024-03-18 08:50:07,CI1429711248,20240318,SV3,1,,
P0618032410224312480,P0618032410224312480,20240318102242,1,1,20,029905820103202401,045291395000,16005,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,40e97a89-1022-42aa-928b-484bb768104e,1,\N,P06,,2024-03-18 10:30:12,CI1429767623,20240318,SV3,1,,
P0618032410325045023,P0618032410325045023,20240318103248,1,1,20,624668250202202401,046035097000,34660,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,b62ea2bb-d6f2-48fc-a299-61e78d31ece8,1,\N,P06,,2024-03-18 10:40:11,CI1429774737,20240318,SV3,1,,
P0618032411365582229,P0618032411365582229,20240318113655,1,1,20,638402880202202401,044038805000,20205,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,f485a0ea-8b6a-4480-951c-ee6f85a89eec,1,\N,P06,,2024-03-18 11:40:12,CI1429818263,20240318,SV3,1,,
P0618032417472539016,P0618032417472539016,20240318174724,1,1,20,000842850202202401,024346468000,80025,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,d8225ed0-ff94-4e74-be91-4b7af061ff1c,1,\N,P06,,2024-03-18 17:50:09,CI1430068566,20240318,SV3,1,,
P0618032418204051378,P0618032418204051378,20240318182039,1,1,20,054779210202202401,044028941000,53570,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,790be84f-07d8-4eb9-bcec-815993f8ecc6,1,\N,P06,,2024-03-18 18:30:04,CI1430085086,20240318,SV3,1,,
P0619032418504061378,P0619032418504061378,20240319185040,1,1,20,030256640102202401,045456223000,99295,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,9c248114-c1c9-4030-8f68-73710ea1a4ff,1,\N,P06,,2024-03-19 19:00:04,CI1430653945,20240319,SV3,1,,
P0619032419342723622,P0619032419342723622,20240319193426,1,1,20,638668770202202401,044039296000,40050,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,86e53962-df7d-4161-944e-9506b2b26683,1,\N,P06,,2024-03-19 19:40:04,A240790088935834,20240319,SV3,1,,
P0619032420040009104,P0619032420040009104,20240319200359,1,1,20,032159040302202401,044022959000,43360,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,202e64cd-eb17-4921-b403-a338c5f881f8,1,\N,P06,,2024-03-19 20:10:04,CI1430686555,20240319,SV3,1,,
P0619032420520096510,P0619032420520096510,20240319205200,1,1,20,033137720102202401,044507722000,25000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,9005bf69-afdb-46dd-86a9-0dd52b7d78c2,1,\N,P06,,2024-03-19 21:10:11,CI1430706805,20240319,SV3,1,,
